date,ürün_sayısı,toplam_ürün,ortalama_satıs,toplam_satıs
2013-01-02,500,12750,27.3560000000000000,13678
2013-01-03,500,12750,28.9760000000000000,14488
2013-01-04,500,12750,31.3540000000000000,15677
2013-01-05,500,12750,32.4740000000000000,16237
2013-01-06,500,12750,34.5820000000000000,17291
2013-01-07,500,12750,23.5380000000000000,11769
2013-01-08,500,12750,27.1200000000000000,13560
2013-01-09,500,12750,27.7560000000000000,13878
2013-01-10,500,12750,29.2840000000000000,14642
2013-01-11,500,12750,31.2660000000000000,15633
2013-01-12,500,12750,33.3580000000000000,16679
2013-01-13,500,12750,35.4820000000000000,17741
2013-01-14,500,12750,23.4920000000000000,11746
2013-01-15,500,12750,27.2500000000000000,13625
2013-01-16,500,12750,27.1820000000000000,13591
2013-01-17,500,12750,29.1740000000000000,14587
2013-01-18,500,12750,30.9900000000000000,15495
2013-01-19,500,12750,32.5880000000000000,16294
2013-01-20,500,12750,35.2240000000000000,17612
2013-01-21,500,12750,23.4180000000000000,11709
2013-01-22,500,12750,27.4480000000000000,13724
2013-01-23,500,12750,27.2260000000000000,13613
2013-01-24,500,12750,28.9440000000000000,14472
2013-01-25,500,12750,31.2800000000000000,15640
2013-01-26,500,12750,33.1220000000000000,16561
2013-01-27,500,12750,35.1580000000000000,17579
2013-01-28,500,12750,23.6960000000000000,11848
2013-01-29,500,12750,27.4480000000000000,13724
2013-01-30,500,12750,26.7820000000000000,13391
2013-01-31,500,12750,29.4480000000000000,14724
2013-02-01,500,12750,34.9460000000000000,17473
2013-02-02,500,12750,36.6460000000000000,18323
2013-02-03,500,12750,39.0880000000000000,19544
2013-02-04,500,12750,25.9960000000000000,12998
2013-02-05,500,12750,29.9120000000000000,14956
2013-02-06,500,12750,30.2480000000000000,15124
2013-02-07,500,12750,32.2240000000000000,16112
2013-02-08,500,12750,34.9000000000000000,17450
2013-02-09,500,12750,36.8500000000000000,18425
2013-02-10,500,12750,39.0020000000000000,19501
2013-02-11,500,12750,25.9220000000000000,12961
2013-02-12,500,12750,30.3080000000000000,15154
2013-02-13,500,12750,30.5480000000000000,15274
2013-02-14,500,12750,32.7580000000000000,16379
2013-02-15,500,12750,35.1260000000000000,17563
2013-02-16,500,12750,36.8560000000000000,18428
2013-02-17,500,12750,39.0040000000000000,19502
2013-02-18,500,12750,25.7160000000000000,12858
2013-02-19,500,12750,30.7180000000000000,15359
2013-02-20,500,12750,29.8180000000000000,14909
2013-02-21,500,12750,32.6580000000000000,16329
2013-02-22,500,12750,34.7860000000000000,17393
2013-02-23,500,12750,36.8720000000000000,18436
2013-02-24,500,12750,38.9640000000000000,19482
2013-02-25,500,12750,26.1160000000000000,13058
2013-02-26,500,12750,30.3680000000000000,15184
2013-02-27,500,12750,30.0280000000000000,15014
2013-02-28,500,12750,32.4560000000000000,16228
2013-03-01,500,12750,41.9560000000000000,20978
2013-03-02,500,12750,44.1880000000000000,22094
2013-03-03,500,12750,46.5200000000000000,23260
2013-03-04,500,12750,31.4200000000000000,15710
2013-03-05,500,12750,36.3780000000000000,18189
2013-03-06,500,12750,36.8700000000000000,18435
2013-03-07,500,12750,38.6200000000000000,19310
2013-03-08,500,12750,41.5100000000000000,20755
2013-03-09,500,12750,44.1080000000000000,22054
2013-03-10,500,12750,46.5040000000000000,23252
2013-03-11,500,12750,30.6460000000000000,15323
2013-03-12,500,12750,36.0580000000000000,18029
2013-03-13,500,12750,36.8260000000000000,18413
2013-03-14,500,12750,38.7900000000000000,19395
2013-03-15,500,12750,41.3260000000000000,20663
2013-03-16,500,12750,44.2880000000000000,22144
2013-03-17,500,12750,46.6760000000000000,23338
2013-03-18,500,12750,31.1660000000000000,15583
2013-03-19,500,12750,36.4700000000000000,18235
2013-03-20,500,12750,36.1940000000000000,18097
2013-03-21,500,12750,38.8100000000000000,19405
2013-03-22,500,12750,41.6240000000000000,20812
2013-03-23,500,12750,44.2160000000000000,22108
2013-03-24,500,12750,46.5740000000000000,23287
2013-03-25,500,12750,31.2940000000000000,15647
2013-03-26,500,12750,36.6160000000000000,18308
2013-03-27,500,12750,36.5520000000000000,18276
2013-03-28,500,12750,39.4840000000000000,19742
2013-03-29,500,12750,41.4220000000000000,20711
2013-03-30,500,12750,44.5840000000000000,22292
2013-03-31,500,12750,47.0740000000000000,23537
2013-04-01,500,12750,36.4080000000000000,18204
2013-04-02,500,12750,42.4360000000000000,21218
2013-04-03,500,12750,42.2500000000000000,21125
2013-04-04,500,12750,45.7180000000000000,22859
2013-04-05,500,12750,48.3600000000000000,24180
2013-04-06,500,12750,51.6100000000000000,25805
2013-04-07,500,12750,54.3440000000000000,27172
2013-04-08,500,12750,36.0100000000000000,18005
2013-04-09,500,12750,42.3520000000000000,21176
2013-04-10,500,12750,42.3940000000000000,21197
2013-04-11,500,12750,45.9500000000000000,22975
2013-04-12,500,12750,48.3660000000000000,24183
2013-04-13,500,12750,51.5160000000000000,25758
2013-04-14,500,12750,54.7780000000000000,27389
2013-04-15,500,12750,36.1600000000000000,18080
2013-04-16,500,12750,42.8580000000000000,21429
2013-04-17,500,12750,42.4180000000000000,21209
2013-04-18,500,12750,45.6760000000000000,22838
2013-04-19,500,12750,48.1540000000000000,24077
2013-04-20,500,12750,51.1060000000000000,25553
2013-04-21,500,12750,54.8740000000000000,27437
2013-04-22,500,12750,36.8300000000000000,18415
2013-04-23,500,12750,42.8900000000000000,21445
2013-04-24,500,12750,42.8440000000000000,21422
