day,sum,avg
2013-01-01,454904,29.3486451612903226
2013-02-01,459417,32.8155000000000000
2013-03-01,617382,39.8310967741935484
2013-04-01,682274,45.4849333333333333
2013-05-01,763242,49.2414193548387097
2013-06-01,795597,53.0398000000000000
2013-07-01,855922,55.2207741935483871
2013-08-01,766761,49.4684516129032258
2013-09-01,689907,45.9938000000000000
2013-10-01,656587,42.3604516129032258
2013-11-01,692643,46.1762000000000000
2013-12-01,506607,32.6843225806451613
2014-01-01,525987,33.9346451612903226
2014-02-01,529117,37.7940714285714286
2014-03-01,704301,45.4387741935483871
2014-04-01,788914,52.5942666666666667
2014-05-01,882877,56.9598064516129032
2014-06-01,906842,60.4561333333333333
2014-07-01,989010,63.8070967741935484
2014-08-01,885596,57.1352258064516129
2014-09-01,785124,52.3416000000000000
2014-10-01,758883,48.9601935483870968
2014-11-01,800783,53.3855333333333333
2014-12-01,578048,37.2934193548387097
2015-01-01,552513,35.6460000000000000
2015-02-01,551317,39.3797857142857143
2015-03-01,730951,47.1581290322580645
2015-04-01,824467,54.9644666666666667
2015-05-01,926902,59.8001290322580645
2015-06-01,937184,62.4789333333333333
2015-07-01,1037350,66.9258064516129032
2015-08-01,920401,59.3807096774193548
2015-09-01,823332,54.8888000000000000
2015-10-01,797253,51.4356774193548387
2015-11-01,827645,55.1763333333333333
2015-12-01,607572,39.1981935483870968
2016-01-01,602439,38.8670322580645161
2016-02-01,614957,42.4108275862068966
2016-03-01,790881,51.0245806451612903
2016-04-01,901950,60.1300000000000000
2016-05-01,988730,63.7890322580645161
2016-06-01,1022664,68.1776000000000000
2016-07-01,1138718,73.4656774193548387
2016-08-01,981494,63.3221935483870968
2016-09-01,896831,59.7887333333333333
2016-10-01,863637,55.7185161290322581
2016-11-01,891448,59.4298666666666667
2016-12-01,663411,42.8007096774193548
2017-01-01,617306,39.8261935483870968
2017-02-01,621369,44.3835000000000000
2017-03-01,822667,53.0752903225806452
2017-04-01,938862,62.5908000000000000
2017-05-01,1020686,65.8507096774193548
2017-06-01,1064624,70.9749333333333333
2017-07-01,1171393,75.5737419354838710
2017-08-01,1026403,66.2195483870967742
2017-09-01,935263,62.3508666666666667
2017-10-01,891160,57.4941935483870968
2017-11-01,928837,61.9224666666666667
2017-12-01,695170,44.8496774193548387
